Release: EDGARv4.3.2_FT2016 of September 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Timeseries 1970-2016 of CO2 emissions by country and sector (Transport, Other industrial combustion, Buildings, Non-combustion, Power Industry) in kton CO2 / year.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reference: European Commission, Joint Research Centre (EC-JRC)/Netherlands Environmental Assessment Agency (PBL). Emissions Database for Global Atmospheric Research (EDGAR), release EDGARv4.3.2_FT2016  (1970 - 2016), http://edgar.jrc.ec.europa.eu/overview.php?v=booklet2017&dst=CO2emi, 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How to cite: Janssens-Maenhout, G., Crippa, M., Guizzardi, D., Muntean, M., Schaaf, E., Olivier, J.G.J., Peters, J.A.H.W., Schure, K.M., Fossil CO2 and GHG emissions of all world countries, EUR 28766 EN,Publications Office of the European Union, Luxembourg, 2017, ISBN 978-92-79-73207-2, doi:10.2760/709792, JRC107877.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO_CODE,ISO_NAME,sector,substance,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AFG,Afghanistan,Transport,CO2,503.4713,503.7333,536.897,525.4184,552.5486,666.1144,600.6336,665.3343,718.1678,760.2467,757.0441,846.7055,825.6455,840.795,869.195,935.972,834.742,956.619,881.012,835.76,824.3385,851.8599,843.3659,893.7179,997.75,1321.085,1322.779,1215.25,1162.338,1132.286,1448.164,1449.015,1435.541,1640.729,1823.593,1991.454,2213.093,1821.498,2797.83,3920.793,4831.784,5335.215,5734.205,6256.07,6634.461,7096.63,7607.106
AFG,Afghanistan,Other industrial combustion,CO2,128.944,128.944,105.463,54.1501,62.1655,55.4417,52.3003,179.176,1801.49,1216.42,422.414,578.034,537.655,555.339,563.611,423.869,388.148,396.172,360.669,358.376,335.113,342.784,262.273,254.828,342.697,432.047,455.08,352.519,388.924,442.034,615.526,549.994,622.251,617.762,686.607,687.249,685.048,670.697,755.271,698.22,1024.13,1132.5,1219.33,1330.3,1410.762,1509.038,1617.586
AFG,Afghanistan,Buildings,CO2,641.589,670.221,518.926,757.527,887.659,590.666,519.171,266.258,490.381,350.604,558.021,488.458,469.296,590.111,473.221,445.255,369.414,324.176,333.888,393.411,438.667,390.863,288.984,261.173,415.941,319.754,300.842,393.445,362.292,390.559,157.436,141.909,134.334,125.332,141.808,153.303,209.494,274.292,277.865,305.961,317.553,336.582,336.582,367.214,389.4245,416.5526,446.5161
AFG,Afghanistan,Non-combustion,CO2,457.8263,455.0624,528.2834,399.1108,562.9699,499.7771,550.2023,639.1412,518.3119,484.9431,523.7441,503.6189,505.3107,532.3197,554.8842,585.864,577.0615,473.0594,411.4963,278.4988,251.0461,226.3928,223.7105,199.0201,161.897,156.3474,153.2488,151.5863,149.3015,152.2021,157.7018,161.9617,137.504,142.8668,132.1237,127.3652,84.77928,86.55791,80.15076,82.90171,97.36453,86.25013,159.128,215.1616,210.6275,142.7548,147.085
AFG,Afghanistan,Power Industry,CO2,10.4453,10.4453,15.5616,17.36,22.6556,19.0742,47.3637,130.444,66.0676,77.9562,106.738,153.681,141.085,176.369,155.186,153.629,187.068,207.307,182.882,161.813,175.771,162.162,84.7434,86.97,52.0319,53.7974,54.3109,45.6832,49.6841,47.73,47.2451,59.2056,60.1982,56.7438,70.7043,73.4167,61.3147,58.2211,55.8662,57.3526,57.5724,61.593,61.593,67.19852,71.26295,76.22725,81.71044
ALB,Albania,Transport,CO2,726.045,726.045,779.493,787.067,827.38,858.41,1000.96,1035.1,1121.35,1261.79,1480.61,821.471,854.649,933.566,1320.09,1079.2,1012.12,1045.66,1152.38,957.233,706.987,534.846,408.179,506.016,634.22,626.509,619.874,492.17,737.73,1400.791,1466.081,1541.157,1766.585,1915.408,2298.173,2372.732,1918.071,2096.596,2282.557,2222.815,2236.023,2340.028,2246.798,2350.099,2660.002,2751.584,2840.548
ALB,Albania,Other industrial combustion,CO2,1472.33,1472.33,1856.87,1111.53,1143.4,1052.92,1080.92,1221.8,1489.27,1907.8,2777.09,2423.01,2445.1,2785.76,2856.15,2765.82,2728.12,2971.99,2665.78,3346.8,2353.6,1627.1,972.82,757.947,679.059,726.58,646.622,451.178,547.643,561.012,569.853,613.694,570.921,722.319,661.514,607.766,802.05,874.308,780.579,506.069,652.744,638.066,446.232,466.7484,528.2977,546.4866,564.1554
ALB,Albania,Buildings,CO2,992.68,992.68,1095.79,1300.44,1410.42,1752.13,1908.8,2021,2210.21,2685.17,1733.92,1808.66,1904.01,2009.76,2061.06,2087.39,2201.32,2204.41,2330.9,1534.18,2092.11,1320.93,570.628,393.383,330.064,325.172,454.351,375.942,291.63,750.111,764.524,796.998,1173.92,1045.08,889.177,707.268,934.931,723.115,653.269,520.632,566.161,533.523,533.523,558.0528,631.6422,653.3892,674.5143
ALB,Albania,Non-combustion,CO2,545.1255,536.1055,561.8633,684.2144,711.0184,646.733,682.7472,706.42,798.228,844.5764,826.2785,804.6435,760.3181,706.4117,761.9593,671.4514,727.6084,719.5736,732.6674,913.6492,844.0666,508.3957,182.6003,201.6598,278.8985,202.0197,177.4732,140.6644,127.0217,137.7312,120.6169,186.8029,211.2781,350.0551,354.6511,311.0127,301.3443,426.2539,451.9921,489.1671,601.2772,784.8794,978.8712,1006.814,996.7005,1031.559,1125.394
ALB,Albania,Power Industry,CO2,698.291,698.291,743.364,756.529,763.669,710.171,722.054,718.092,798.55,839.96,819.636,790.405,900.094,930.087,975.56,997.232,1009.78,1009.78,1011.3,1000.89,523.224,331.272,185.76,318.888,390.096,170.28,142.416,108.36,89.784,185.095,218.269,216.662,173.92,167.728,167.184,142.416,142.416,89.784,2.932,5.864,14.66,29.32,2.932,3.066805,3.471218,3.59073,3.706824
