Sector,country_name,ISO_CODE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Power Industry,Afghanistan,AFG,0.05696213,0.05696213,0.1168947,0.1749692,0.2068755,0.210758,0.2410092,0.3757157,0.2738598,0.301744,0.3109547,0.3600613,0.3465212,0.4840846,0.43644826,0.61418569,0.64684382,0.7101671,0.6521777,0.59748623,0.59004287,0.55517905,0.32672559,0.32244786,0.15598493,0.27394402,0.32546618,0.33114012,0.40738685,0.37743333,0.37025375,0.33373519,0.33696435,0.2315215,0.27421462,0.4101767,0.4408276,0.4921498,1.0851243,1.5885907,2.0170814,2.1166165,2.1007198,3.2336587,3.4143922,3.2417678,3.600600015,3.831307971
Power Industry,Albania,ALB,0.600624,0.600624,0.616104,0.613008,0.606816,0.532512,0.535608,0.51084,0.79855,0.83996,0.819636,0.790405,0.900094,0.930087,0.97556,0.997232,1.009783,1.009783,1.011298,1.000895,0.523224,0.331272,0.18576,0.318888,0.390096,0.26316,0.21672,0.20124,0.213624,0.2098631,0.2832845,0.2723897,0.283667,0.172677,0.167184,0.142416,0.142416,0.089784,NULL,0.006192,0.01548,0.03096,NULL,NULL,NULL,NULL,NULL,NULL
Power Industry,Algeria,DZA,1.645869,1.645869,1.550235,1.2219716,1.4651676,2.111895,2.530895,2.819267,3.299023,3.6622362,5.1237663,5.3117078,6.9173538,7.8552379,8.1125005,8.5936053,10.2467612,9.4375912,10.3983635,10.3920245,10.2223123,10.5916202,11.0272485,11.5253784,12.3432302,12.5442107,12.6084194,13.3454416,14.9493625,15.6023606,15.832341,16.6174631,17.54781076,18.7787343,19.8364409,20.6501865,22.0004781,22.3250791,24.1159624,24.66633251,25.086252,28.12088,30.9293772,30.0944533,32.6298703,36.7741147,36.69641511,36.73118291
Power Industry,Angola,AGO,0.1375463,0.1375463,0.159283,0.1687516,0.3718644,0.3529568,0.3465842,0.3465842,0.3465839,0.386987,0.3998063,0.3998063,0.4219906,0.4595523,0.1173798,0.160956,0.2044548,0.17334,0.2604924,0.2449347,0.2916068,0.244935,0.1726242,0.125175,0.1750203,0.1718472,0.1970375,0.4166674,0.3851183,0.6211225,0.7285244,0.82055,0.82055,1.027545,0.6532977,0.7674174,0.868968,0.976807,1.385889,2.226396,2.369069,2.229655,1.84347,2.3258881,3.441893,3.7755592,3.906911014,3.924994523
Power Industry,Anguilla,AIA,0.000429951,0.000429951,0.00043589,0.00043844,0.000446635,0.000479855,0.000521363,0.000449384,0.000542579,0.000661637,0.000455851,0.000451961,0.000445261,0.000416852,0.000409832,0.000403235,0.000444455,0.00046412,0.000359471,0.000374067,0.000402217,0.000420277,0.000442835,0.000443784,0.00045567,0.000461067,0.000497931,0.000459605,0.00057376,0.000490763,0.00064809,0.000730571,0.000721046,0.000750785,0.000752823,0.000744821,0.000736684,0.000760327,0.000776913,0.000778195,0.000789682,0.000910453,0.000910453,0.000977533,0.000975979,0.000979804,0.000979804,0.000979804
Power Industry,Antigua and Barbuda,ATG,0.05382232,0.05382232,0.05297142,0.05970373,0.05317592,0.06617701,0.0709117,0.07331916,0.08735145,0.07595995,0.07594852,0.06222565,0.08378801,0.04673411,0.06477264,0.074456951,0.074249802,0.093376818,0.100542324,0.085415798,0.089676321,0.102750284,0.109051888,0.090717858,0.105357,0.11764185,0.118198267,0.107072238,0.10992569,0.097121585,0.10179345,0.10312549,0.10533485,0.12460515,0.13071186,0.13408613,0.13016722,0.13439425,0.14311011,0.16303361,0.16471328,0.18682511,0.310087383,0.31052249,0.2815918,0.3091328,0.3091328,0.3091328
Power Industry,Argentina,ARG,23.83462888,23.83462888,24.97324381,25.05556521,23.43318942,22.97537726,24.33750823,26.38805876,23.55234168,25.15932081,22.42147302,20.77398251,19.37717265,20.71292815,19.3246865,17.26256432,19.6688675,19.74045097,27.46561808,26.38158705,20.27842733,22.26076063,21.32371337,21.37063458,22.03043522,22.84954932,25.91170081,23.87918222,25.66220117,29.61498627,30.3018116,24.26431051,21.99547518,25.48922017,32.00696602,32.6919674,35.56004656,40.78231916,44.52977506,44.08051246,45.53000891,50.28883972,54.28052463,51.84786326,53.12208757,55.70102207,55.91719022,55.09087064
Power Industry,Armenia,ARM,2.064712,2.064712,2.283409,2.743254,3.179542,3.534825,3.757429,3.939219,4.135168,4.348234,4.528115,4.790129,4.886751,4.938532,4.847996,4.825349,4.70879,4.66253,4.38253,3.95365,6.09987,7.79896,4.86604,0.812912,0.820899,1.391964,1.53609,1.8007831,1.7859387,1.4554039,1.6004798,1.538996,0.9171791,0.8779646,0.766494,0.949212,0.9031535,1.0812169,1.04009,0.64515,0.632584,0.945173,1.43122,1.32093,1.5515,1.2767832,1.316354367,1.246289452
Power Industry,Aruba,ABW,0.008970346,0.008970346,0.008828566,0.009950653,0.00886264,0.0110295,0.0118186,0.01221986,0.01455862,0.01265997,0.01265806,0.01244512,0.011969738,0.011683584,0.012954499,0.014891355,0.014849995,0.015562801,0.10054231,0.099651755,0.119568141,0.154124932,0.163577943,0.151196696,0.150510113,0.201671626,0.135083679,0.198848394,0.204148039,0.180351586,0.18902702,0.20623127,0.21064948,0.21803788,0.24506108,0.22345617,0.23138608,0.20903808,0.22259417,0.22822423,0.23057652,0.24284936,0.403073301,0.4967884,0.47536998,0.47569635,0.47569635,0.47569635
Power Industry,Australia,AUS,53.22898744,52.45176,57.95939759,59.1577572,65.23069859,69.45223573,71.82197945,80.7988813,75.5380528,78.785609,89.1323825,92.9302678,98.710982,93.8828471,96.54828088,104.3180734,104.2312271,111.2355963,116.5871602,125.9194151,128.812315,131.137911,133.8660352,134.7606147,136.9626214,142.5947741,149.3249097,153.6777662,172.6443554,176.1188493,178.8655309,186.6172583,203.1198513,187.2478079,196.4581384,201.6240883,205.2017358,211.5960915,211.5590443,222.1963317,210.6657662,202.7029089,201.7284786,191.436114,182.3065955,190.3703384,190.4643567,190.4842826
